413,38,12,2
414,39,11,1
415,40,10,20
416,39,9,19
417,40,8,18
418,39,7,17
419,38,6,16
420,37,6,15
421,36,5,14
422,35,4,13
423,34,3,12
424,33,2,11
425,32,3,10
426,33,4,9
427,34,5,8
428,35,6,7
429,36,6,6
430,37,7,5
431,38,7,4
432,39,7,3
433,40,8,2
434,39,9,1
435,40,10,20
436,39,11,19
437,40,12,18
438,39,13,17
439,40,14,16
440,41,15,15
441,41,16,14
442,42,17,13
443,43,17,12
444,44,17,11
445,44,16,10
446,43,15,9
447,43,14,8
448,43,13,7
449,42,12,6
450,41,11,5
451,40,10,20
452,39,9,19
453,40,8,18
454,39,7,17
455,39,6,16
456,40,5,15
457,39,4,14
458,38,3,13
459,37,2,12
460,38,2,11
461,39,2,10
462,40,2,9
463,41,2,8
464,40,3,7
465,39,4,6
466,40,5,5
467,41,6,4
468,42,7,3
469,41,8,2
470,40,9,1
471,40,10,20
472,41,9,19
473,42,9,18
474,43,8,17
475,44,7,16
476,45,8,15
477,44,7,14
478,45,6,13
479,46,5,12
480,47,4,11
481,48,3,10
482,49,2,9
483,48,2,8
484,47,3,7
485,46,4,6
486,45,5,5
487,44,6,4
488,43,7,3
489,42,8,2
490,41,9,1
491,40,10,20
492,39,9,19
493,40,8,18
494,39,7,17
495,38,6,16
496,37,6,15
497,36,5,14
498,35,5,13
499,34,6,12
500,33,6,11
501,32,6,10
502,33,6,9
503,34,5,8
504,35,5,7
505,36,6,6
506,37,7,5
507,38,7,4
508,39,7,3
509,40,8,2
510,39,9,1
511,40,10,20
512,39,11,19
513,38,12,18
514,37,13,17
515,37,14,16
516,38,15,15
517,39,16,14
518,39,17,13
519,38,17,12
520,37,18,11
521,36,17,10
522,35,16,9
523,35,15,8
524,35,14,7
525,35,13,6
526,35,12,5
527,34,11,4
528,33,12,3
529,32,13,2
530,31,14,1
531,32,15,20
532,31,16,19
533,32,17,18
534,31,18,17
535,31,19,16
536,32,20,15
537,32,21,14
538,33,22,13
539,32,23,12
540,31,24,11
541,30,25,10
542,29,24,9
543,28,23,8
544,28,22,7
545,28,21,6
546,29,20,5
547,30,19,4
548,29,18,3
549,30,17,2
550,31,16,1
551,32,15,20
552,31,16,19
553,30,16,18
554,29,16,17
555,28,17,16
556,27,18,15
557,26,18,14
558,25,19,13
559,26,18,12
560,27,17,11
561,26,16,10
562,27,15,9
563,26,14,8
564,25,13,7
565,24,12,6
566,24,11,5
567,25,10,20
568,24,10,19
569,23,11,18
570,22,10,17
571,21,9,16
572,22,8,15
573,23,7,14
574,24,6,13
575,25,5,12
576,26,4,11
577,27,3,10
578,26,4,9
579,25,5,8
580,24,6,7
581,23,7,6
582,22,8,5
583,22,9,4
584,22,10,3
585,23,11,2
586,24,10,1
587,25,10,20
588,24,10,19
589,23,11,18
590,22,10,17
591,21,9,16
592,20,9,15
593,21,8,14
594,22,7,13
595,23,6,12
596,24,5,11
597,23,4,10
598,24,5,9
599,25,6,8
600,24,7,7
601,23,7,6
602,22,8,5
603,22,9,4
604,22,10,3
605,23,11,2
606,24,10,1
607,25,10,20
608,24,10,19
609,23,11,18
610,22,10,17
611,22,9,16
612,22,8,15
613,23,7,14
614,24,6,13
615,25,7,12
616,26,6,11
617,27,6,10
618,26,7,9
619,25,7,8
620,24,7,7
621,23,7,6
622,22,8,5
623,22,9,4
624,22,10,3
625,23,11,2
626,24,10,1
627,25,10,20
628,24,10,19
629,23,11,18
630,22,10,17
631,21,9,16
632,21,8,15
633,22,7,14
634,23,6,13
635,24,5,12
636,23,4,11
637,24,3,10
638,23,4,9
639,24,5,8
640,23,6,7
641,23,7,6
642,22,8,5
643,22,9,4
644,22,10,3
645,23,11,2
646,24,10,1
647,25,10,20
648,24,11,19
649,24,12,18
650,23,13,17
651,22,14,16
652,22,15,20
653,21,15,19
654,20,16,18
655,19,17,17
656,20,17,16
657,21,18,15
658,21,19,14
659,21,20,13
660,21,19,12
661,21,18,11
662,20,17,10
663,19,16,9
664,18,15,8
665,17,14,7
666,16,13,6
667,15,12,5
668,14,11,4
669,13,11,3
670,12,12,2
671,11,11,1
672,10,11,20
673,9,12,19
674,8,13,18
675,8,14,17
676,8,15,16
677,7,16,15
678,6,17,14
679,5,18,13
680,4,19,12
681,3,20,11
682,2,21,10
683,3,20,9
684,4,19,8
685,5,18,7
686,6,17,6
687,7,16,5
688,8,15,4
689,8,14,3
690,8,13,2
691,9,12,1
692,10,11,20
693,11,12,19
694,12,13,18
695,12,14,17
696,12,15,16
697,12,16,15
698,13,17,14
699,12,16,13
700,13,15,12
701,12,14,11
702,12,13,10
703,13,12,9
704,14,11,8
